Column Name,Description,Example
Anonymous_Uid,A unique identifier assigned to each patient to ensure data privacy and enable tracking across multiple visits without revealing personal details.,-
Anonymous_mrno,An anonymized medical record number specific to the healthcare facility for securely managing patient records and visits.,-
pedate,"The date and time of the patient's clinical visit, including consultations, examinations, or procedures.",-
DrugEye,"Specifies the eye for which the drug was prescribed during each visit. If multiple records are tied to the same visit, the values are separated by semicolons (;).
- 1: Right eye
- 2: Left eye
- 3: Both eyes","Original Format:
1;1;3;3

Transformed Format (if split for clarity):
- Record 1: 1 (Right eye)
- Record 2: 1 (Right eye)
- Record 3: 3 (Both eyes)
- Record 4: 3 (Both eyes)"
Drugname,The name of the medication prescribed during a single visit. Multiple drugs prescribed within the same visit are separated by semicolons (;).,"Original Format:
GATILOX DM-10ML; GATILOX DM-10ML; MISOPT EYE DROPS; P-NAC TABS

Transformed Format:
- Drug 1: GATILOX DM-10ML
- Drug 2: GATILOX DM-10ML
- Drug 3: MISOPT EYE DROPS
- Drug 4: P-NAC TABS"
drugdaysdescription,"Duration for which the prescribed drug is to be used. If multiple records are tied to the same visit, the values are separated by semicolons (;).","Original Format:
7 days;10 days;14 days

Transformed Format:
- Record 1: 7 days
- Record 2: 10 days
- Record 3: 14 days"
drugfreqdesc,Frequency of drug administration during a visit. Multiple frequencies in a single visit are separated by semicolons (;).,"Original Format:
4 times a day;Morning only;Evening only

Transformed Format:
- Record 1: 4 times a day
- Record 2: Morning only
- Record 3: Evening only"
drugmealsdesc,Indicates whether the drug should be taken before or after meals during a visit. Multiple records in a single visit are separated by semicolons (;).,"Original Format:
Before Meals;After Meals;After Meals

Transformed Format:
- Record 1: Before Meals
- Record 2: After Meals
- Record 3: After Meals"
drugstartdate,The start date for the prescribed medication. Multiple records for a single visit are separated by semicolons (;).,"Original Format:
2023-01-01;2023-02-01;2023-03-01

Transformed Format:
- Record 1: 2023-01-01
- Record 2: 2023-02-01
- Record 3: 2023-03-01"
drugdosagedesc,"Description of the drug dosage, such as ""1 drop"" or ""1 tablet"". Multiple records for the same visit are separated by semicolons (;).","Original Format:
1 drop;1 tablet;2 drops

Transformed Format:
- Record 1: 1 drop
- Record 2: 1 tablet
- Record 3: 2 drops"
DiagnosisEye,"Specifies the eye for which the diagnosis was made during each visit. If multiple visits are recorded in a single patient record, the values are separated by semicolons (;). Each value corresponds to one visit:
- 1: Right eye
- 2: Left eye
- 3: Both eyes.","Original Format:
3;3;3;0;3;1

Transformed Format:
- Records1: 3
- Records2: 3
- Records3: 3
- Records4: 0
- Records5: 3
- Records6: 1"
DiagnosisName,"The diagnosis or medical condition identified during the patient's visit. If multiple diagnoses are recorded for a single patient across visits, the values are separated by semicolons (;).","Original Format:
CSCR- Central Serous Chorio Retinopathy; S/P Focal Laser; Glaucoma Suspect; Hypertension; S/P Intravitreal Injection; CNVM- Choroidal neovascular membrane

Transformed Format:
- Record 1: CSCR- Central Serous Chorio Retinopathy
- Record 2: S/P Focal Laser
- Record 3: Glaucoma Suspect
- Record 4: Hypertension
- Record 5: S/P Intravitreal Injection
- Record 6: CNVM- Choroidal neovascular membrane"
deptname,"The department or specialty clinic the patient Recorded, such as Retina Clinic or Glaucoma Clinic. If multiple Records are recorded in the same patient record, the values are separated by semicolons (;).","Original Format:
Retina Clinic;Glaucoma Clinic;Retina Clinic

Transformed Format:
- Records1: Retina Clinic
- Records2: Glaucoma Clinic
- Records3: Retina Clinic"
investicationName,"The diagnostic tests, scans, or procedures performed during the patient's visit, such as Optical Coherence Tomography or blood tests. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Optical Coherence Tomography;Blood Test;OCT Scan

Transformed Format:
- Records1: Optical Coherence Tomography
- Records2: Blood Test
- Records3: OCT Scan"
complaintName,"The symptoms or issues reported by the patient during their visit, such as pain, redness, or defective vision. If multiple visits are recorded in a single patient record, the values are separated by semicolons (;).","Original Format:
Pain;Redness;Defective Vision

Transformed Format:
- Records1: Pain
- Records2: Redness
- Records3: Defective Vision"
WearGlasses,"Indicates whether the patient wears glasses: Yes or No. If multiple visits are recorded, the values are separated by semicolons (;) indicating multiple records for the same visit.","Original Format:
Yes;No;Yes

Transformed Format:
- Records1: Yes
- Records2: No
- Records3: Yes"
CurrentGlassDuration,"Specifies the duration for which the patient has been using their current pair of glasses, e.g., ""1 year"", ""2 years"". If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
1 year;2 years;3 months

Transformed Format:
- Records1: 1 year
- Records2: 2 years
- Records3: 3 months"
Revalue,"Visual acuity measurement for the right eye (RE). If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
6/6;6/12;6/36

Transformed Format:
- Records1: 6/6
- Records2: 6/12
- Records3: 6/36"
Levalue,"Visual acuity measurement for the left eye (LE). If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
6/6;6/24;6/60

Transformed Format:
- Records1: 6/6
- Records2: 6/24
- Records3: 6/60"
LidLe,"Observations or findings related to the eyelid of the left eye. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Normal;Edema;Ptosis

Transformed Format:
- Records1: Normal
- Records2: Edema
- Records3: Ptosis"
LidRe,"Observations or findings related to the eyelid of the right eye. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Normal;Ptosis;Blepharitis

Transformed Format:
- Records1: Normal
- Records2: Ptosis
- Records3: Blepharitis"
ConjunctivaRe,"Observations of the conjunctiva (the thin membrane covering the white part of the eye) of the right eye. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Clear;Inflamed;Irritated

Transformed Format:
- Records1: Clear
- Records2: Inflamed
- Records3: Irritated"
ConjunctivaLe,"Observations of the conjunctiva of the left eye. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Clear;Irritated;Inflamed

Transformed Format:
- Records1: Clear
- Records2: Irritated
- Records3: Inflamed"
CorneaRe,"Findings related to the cornea of the right eye. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Clear;Scarring;Edema

Transformed Format:
- Records1: Clear
- Records2: Scarring
- Records3: Edema"
CorneaLe,"Findings related to the cornea of the left eye. If multiple visits are recorded, the values are separated by semicolons (;).","Original Format:
Clear;Edema;Scarring

Transformed Format:
- Records1: Clear
- Records2: Edema
- Records3: Scarring"
AnteriorChamberRe,"Observations of the anterior chamber (the fluid-filled space between the cornea and iris) of the right eye. If multiple values are recorded, they are separated by semicolons (;), indicating repeated assessments during a visit.","Original Format:
Normal Depth;Shallow Depth;Normal Depth

Transformed Format:
- Records1: Normal Depth
- Records2: Shallow Depth
- Records3: Normal Depth"
AnteriorChamberLe,"Observations of the anterior chamber of the left eye. If multiple values are recorded, they are separated by semicolons (;), indicating repeated assessments during a visit.","Original Format:
Normal Depth;Cells Present;Shallow Depth

Transformed Format:
- Records1: Normal Depth
- Records2: Cells Present
- Records3: Shallow Depth"
